Id,Name,Surname,Division,Manager,Gender,Sexual_Orientation,LGBTQ,Indigenous,Ethnicity,Disability,Minority,Veteran,Date of Birth,Age,Preferred Name,Nationality,Hobbies,Pronouns,Mobile Number,Email,Aug_D_Q1,Aug_D_Q2,Aug_D_Q3,Aug_D_Q4,Aug_D_Q5,D_Negative,D_Neutral,D_Positive,Aug_E_Q1,Aug_E_Q2,Aug_E_Q3,Aug_E_Q4,Aug_E_Q5,E_Negative,E_Neutral,E_Positive,Aug_I_Q1,Aug_I_Q2,Aug_I_Q3,Aug_I_Q4,Aug_I_Q5,I_Negative,I_Neutral,I_Positive
1,Deborah,Addison,IT,No,Transgender,Heterosexual,Prefer not to say,No,White,Yes,No,No,1993-06-04,29,Deborah,Polish,Travelling,They/them/theirs,363 436 1096,Deborah.Addison@mail.ca,-1,2,-1,0,-2,3,1,1,0,-1,1,-2,1,2,1,2,0,1,1,0,-2,1,2,2
2,Mona,Hill,Marketing,No,Male,Heterosexual,No,Yes,White,No,Yes,No,1963-08-02,59,Mona,Lao,Reading,He/him/his,905 980 9989,Mona.Hill@mail.ca,-2,2,0,2,2,1,1,3,2,2,0,2,0,0,2,3,0,-1,1,1,0,1,2,2
3,Kimberly,Shelton,Finance,No,Female,Heterosexual,No,No,White,No,No,No,1979-04-25,43,Kimberly,Canadian,Sports,She/her/hers,788 356 1577,Kimberly.Shelton@mail.ca,0,-1,-2,-1,1,3,1,1,2,2,2,-1,2,1,0,4,-2,2,2,0,2,1,1,3
4,Denis,Robinson,HR,No,Male,Heterosexual,No,No,White,Yes,Yes,No,1978-02-11,44,Denis,Canadian,Sports,He/him/his,946 855 5822,Denis.Robinson@mail.ca,-2,0,1,0,-2,2,2,1,1,2,-2,0,1,1,1,3,0,2,1,0,1,0,2,3
5,Carmen,Gunn,RD,No,Male,Heterosexual,No,No,Asian,No,No,No,1972-03-11,50,Carmen,Korean,Cooking,He/him/his,537 895 4532,Carmen.Gunn@mail.ca,-2,-1,-1,-1,2,4,0,1,1,2,2,2,1,0,0,5,1,1,1,2,2,0,0,5
6,Nathan,Furnell,Sales,No,Male,Heterosexual,No,No,Black,No,No,No,1985-01-11,37,Nathan,Canadian,Music,He/him/his,317 280 1655,Nathan.Furnell@mail.ca,-2,2,-2,2,2,2,0,3,1,1,1,1,2,0,0,5,1,-1,-2,1,-1,3,0,2
7,Luke,Sinclair,Marketing,No,Male,Prefer not to say,Yes,No,White,No,Yes,No,1988-09-04,34,Luke,English,Music,He/him/his,500 192 9313,Luke.Sinclair@mail.ca,2,2,-2,2,0,1,1,3,0,1,2,-1,2,1,1,3,-1,1,1,2,2,1,0,4
8,Fred,Callan,Sales,No,Male,Heterosexual,No,No,White,No,Yes,No,1994-11-09,27,Fred,Norwegian,Sports,He/him/his,531 698 4421,Fred.Callan@mail.ca,-2,1,-2,1,1,2,0,3,1,-1,2,1,-2,2,0,3,-1,1,0,1,1,1,1,3
9,Carter,Owen,Finance,No,Male,Heterosexual,No,No,Black,No,Yes,No,1970-03-02,52,Carter,Indian,Video Games,He/him/his,273 624 1755,Carter.Owen@mail.ca,2,-1,1,2,0,1,1,3,1,1,1,-1,2,1,0,4,1,2,1,2,2,0,0,5
10,Harry,Dobson,Sales,No,Male,Heterosexual,No,No,Black,No,No,No,1975-02-28,47,Harry,Indian,Crafting,He/him/his,648 541 9503,Harry.Dobson@mail.ca,-2,-2,-1,2,2,3,0,2,2,2,2,-1,1,1,0,4,1,2,0,1,2,0,1,4
11,Ramon,Mccall,Sales,No,Male,Heterosexual,No,No,White,No,No,No,1968-03-27,54,Ramon,Indian,Travelling,He/him/his,502 332 1292,Ramon.Mccall@mail.ca,0,1,2,2,2,0,1,4,-1,2,1,2,-1,2,0,3,0,2,-1,0,2,1,2,2
12,Fred,Wilton,RD,No,Female,Heterosexual,Prefer not to say,No,Middle Eastern,No,No,No,1987-01-01,35,Fred,Indian,Travelling,She/her/hers,773 530 6142,Fred.Wilton@mail.ca,1,1,0,1,1,0,1,4,2,-2,1,-1,-2,3,0,2,-1,1,-1,-1,-2,4,0,1
13,Nick,Sloan,Operations,No,Prefer not to say,Heterosexual,No,No,Black,No,No,No,1968-01-11,54,Nick,Jordanian,Video Games,Ze/hir/hirs,568 569 7849,Nick.Sloan@mail.ca,0,-1,-1,2,1,2,1,2,-1,2,1,-1,1,2,0,3,2,2,2,2,1,0,0,5
14,Kassandra,Jarrett,Operations,No,Male,Heterosexual,No,No,Middle Eastern,No,No,No,1990-02-13,32,Kassandra,Sri Lankan,Travelling,He/him/his,790 679 8854,Kassandra.Jarrett@mail.ca,1,0,1,2,2,0,1,4,-2,-1,1,1,1,2,0,3,0,2,2,-1,1,1,1,3
15,Russel,Larsen,Sales,No,Male,Heterosexual,No,No,White,No,No,No,1993-01-11,29,Russel,Canadian,Sports,He/him/his,368 391 2838,Russel.Larsen@mail.ca,1,2,2,2,-1,1,0,4,-1,0,-2,1,-1,3,1,1,-1,-1,-1,1,0,3,1,1
16,Rhea,Latham,IT,No,Male,Heterosexual,No,No,Middle Eastern,No,No,No,1990-08-06,32,Rhea,British,Cooking,He/him/his,869 635 9373,Rhea.Latham@mail.ca,0,-2,2,1,2,1,1,3,-1,2,-2,2,2,2,0,3,2,2,2,1,2,0,0,5
17,Liliana,Todd,HR,No,Male,Heterosexual,No,No,White,No,No,No,1983-02-17,39,Liliana,Canadian,Sports,He/him/his,431 833 4660,Liliana.Todd@mail.ca,1,2,1,2,0,0,1,4,2,-2,1,1,-1,2,0,3,-1,-2,-2,1,-1,4,0,1
18,Brad,Windsor,Operations,No,Male,Heterosexual,No,No,White,No,No,No,1988-10-14,33,Brad,Canadian,Sports,He/him/his,593 241 3231,Brad.Windsor@mail.ca,-2,2,0,1,2,1,1,3,1,-1,1,0,2,1,1,3,-1,-1,2,-2,1,3,0,2
19,David,Russel,IT,No,Non-binary/non-conforming,Heterosexual,No,No,White,No,Yes,No,1993-06-08,29,David,Canadian,Cooking,They/them/theirs,182 385 7034,David.Russel@mail.ca,0,2,0,1,1,0,2,3,-2,2,1,0,2,1,1,3,2,0,2,1,0,0,2,3
